timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725178684582,89,GetReqres,200,OK,Konfigurasi beban 1-102,text,true,,1933,159,63,63,https://reqres.in/api/users?page=2,89,0,63
1725178684311,377,PostReqres,201,Created,Konfigurasi beban 1-76,text,true,,934,223,65,65,https://reqres.in/api/users,377,0,0
1725178684167,521,PostReqres,201,Created,Konfigurasi beban 1-69,text,true,,934,223,65,65,https://reqres.in/api/users,521,0,0
1725178684311,377,DeleteReqres,204,No Content,Konfigurasi beban 1-53,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684612,76,GetReqres,200,OK,Konfigurasi beban 1-104,text,true,,1929,159,65,65,https://reqres.in/api/users?page=2,76,0,39
1725178684627,70,GetReqres,200,OK,Konfigurasi beban 1-105,text,true,,1933,159,64,64,https://reqres.in/api/users?page=2,69,0,44
1725178684312,391,DeleteReqres,204,No Content,Konfigurasi beban 1-40,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684311,392,PostReqres,201,Created,Konfigurasi beban 1-74,text,true,,933,223,64,64,https://reqres.in/api/users,392,0,0
1725178684171,534,DeleteReqres,204,No Content,Konfigurasi beban 1-42,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684597,108,GetReqres,200,OK,Konfigurasi beban 1-103,text,true,,1941,159,64,64,https://reqres.in/api/users?page=2,91,0,50
